# Force coefficients    
# dragDir               : (9.8480778300336347e-01 1.7364800757855070e-01 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000002e+00)
# liftDir               : (-1.7364800757855070e-01 9.8480778300336336e-01 0.0000000000000000e+00)
# rollAxis              : (9.8480778300336347e-01 1.7364800757855070e-01 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000002e+00)
# yawAxis               : (-1.7364800757855070e-01 9.8480778300336336e-01 0.0000000000000000e+00)
# magUInf               : 1.0000000000000000e+00
# lRef                  : 1.0000000000000000e+00
# Aref                  : 1.0000000000000000e+00
# CofR                  : (2.5000000000000000e-01 0.0000000000000000e+00 -5.0000000000000000e-01)
#
# Time                  	Cd                      	Cs                      	Cl                      	CmRoll                  	CmPitch                 	CmYaw                   	Cd(f)                   	Cd(r)                   	Cs(f)                   	Cs(r)                   	Cl(f)                   	Cl(r)                   
59                      	1.2478269211968103e-01	7.3589799588091073e-22	1.1949055708242002e+00	-1.1949055708242005e+00	-9.7746142781817494e-02	1.2478269211968104e-01	-1.1325142247643600e+00	1.2572969168840409e+00	1.2478269211968104e-01	-1.2478269211968104e-01	4.9970664263028264e-01	6.9519892819391760e-01
60                      	1.2357020639077591e-01	7.5317436241077626e-22	1.2019365556889976e+00	-1.2019365556889976e+00	-9.7246771922796196e-02	1.2357020639077593e-01	-1.1401514524936096e+00	1.2637216588843856e+00	1.2357020639077593e-01	-1.2357020639077593e-01	5.0372150592170262e-01	6.9821504976729498e-01
61                      	1.2225110903784328e-01	7.6932214416960526e-22	1.2089442956510492e+00	-1.2089442956510490e+00	-9.6761916803213721e-02	1.2225110903784328e-01	-1.1478187411321275e+00	1.2700698501699705e+00	1.2225110903784328e-01	-1.2225110903784328e-01	5.0771023102231094e-01	7.0123406462873827e-01
62                      	1.2084673771188394e-01	7.8433395742460896e-22	1.2158043512524670e+00	-1.2158043512524670e+00	-9.6272736103280840e-02	1.2084673771188395e-01	-1.1553809823965251e+00	1.2762277201084089e+00	1.2084673771188395e-01	-1.2084673771188395e-01	5.1162943952295270e-01	7.0417491172951430e-01
63                      	1.1935502982506836e-01	7.9879173252011156e-22	1.2228394062832348e+00	-1.2228394062832348e+00	-9.5778852455329577e-02	1.1935502982506839e-01	-1.1631618913707007e+00	1.2825169211957690e+00	1.1935502982506839e-01	-1.1935502982506839e-01	5.1564085068628784e-01	7.0719855559694700e-01
64                      	1.1787205120838889e-01	8.1206639032704258e-22	1.2293958434177821e+00	-1.2293958434177821e+00	-9.5269857611113090e-02	1.1787205120838891e-01	-1.1704598178135877e+00	1.2883318690219765e+00	1.1787205120838891e-01	-1.1787205120838891e-01	5.1942806409777798e-01	7.0996777932000410e-01
65                      	1.1628877828166566e-01	8.2520863468598432e-22	1.2363556840615462e+00	-1.2363556840615462e+00	-9.4740472421112124e-02	1.1628877828166569e-01	-1.1782112949207133e+00	1.2945000732023790e+00	1.1628877828166569e-01	-1.1628877828166569e-01	5.2343736960966092e-01	7.1291831445188525e-01
66                      	1.1480168193402035e-01	8.3696429388048545e-22	1.2424342070686165e+00	-1.2424342070686165e+00	-9.4203637766990103e-02	1.1480168193402036e-01	-1.1850333661016064e+00	1.2998350480356267e+00	1.1480168193402036e-01	-1.1480168193402036e-01	5.2701346576731811e-01	7.1542074130129840e-01
67                      	1.1319614825336745e-01	8.4851817157881133e-22	1.2488637535990665e+00	-1.2488637535990668e+00	-9.3627261799694925e-02	1.1319614825336749e-01	-1.1922656794723829e+00	1.3054618277257506e+00	1.1319614825336749e-01	-1.1319614825336749e-01	5.3080461499983833e-01	7.1805913859922821e-01
68                      	1.1170095970688267e-01	8.5926101721662441e-22	1.2547382678789578e+00	-1.2547382678789580e+00	-9.3073077388352063e-02	1.1170095970688271e-01	-1.1988877880255167e+00	1.3105887477323994e+00	1.1170095970688271e-01	-1.1170095970688271e-01	5.3429605655112689e-01	7.2044221132783093e-01
69                      	1.1023046753240416e-01	8.6919466169520344e-22	1.2601379274106717e+00	-1.2601379274106717e+00	-9.2514570263255630e-02	1.1023046753240415e-01	-1.2050226936444697e+00	1.3152531611768736e+00	1.1023046753240415e-01	-1.1023046753240415e-01	5.3755439344208023e-01	7.2258353396859143e-01
70                      	1.0877543699012672e-01	8.7895322983527511e-22	1.2655419755171355e+00	-1.2655419755171358e+00	-9.1964725920199900e-02	1.0877543699012675e-01	-1.2111542570220724e+00	1.3199296940121992e+00	1.0877543699012675e-01	-1.0877543699012675e-01	5.4080626183836789e-01	7.2473571367876766e-01
71                      	1.0742569751123224e-01	8.8866124319822269e-22	1.2707160963992412e+00	-1.2707160963992412e+00	-9.1464290986485369e-02	1.0742569751123227e-01	-1.2170032476436250e+00	1.3244289451548574e+00	1.0742569751123227e-01	-1.0742569751123227e-01	5.4389375721313526e-01	7.2682233918610595e-01
72                      	1.0620986848722599e-01	8.9817681402228010e-22	1.2754994505968240e+00	-1.2754994505968240e+00	-9.1010315902655625e-02	1.0620986848722599e-01	-1.2223945163532111e+00	1.3286043848404370e+00	1.0620986848722599e-01	-1.0620986848722599e-01	5.4673940939575638e-01	7.2876004120106763e-01
73                      	1.0509995330535118e-01	9.0760367674244607e-22	1.2800740917530129e+00	-1.2800740917530131e+00	-9.0585712467471019e-02	1.0509995330535123e-01	-1.2275241151003375e+00	1.3326240684056887e+00	1.0509995330535123e-01	-1.0509995330535123e-01	5.4945133340903540e-01	7.3062275834397750e-01
74                      	1.0410367398857344e-01	9.1713849951190047e-22	1.2844357620219795e+00	-1.2844357620219793e+00	-9.0181398456926160e-02	1.0410367398857338e-01	-1.2323839250276927e+00	1.3364875990162659e+00	1.0410367398857338e-01	-1.0410367398857338e-01	5.5203648255406357e-01	7.3239927946791594e-01
