# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	U_converged             	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             	omega_solver            	omega_initial           	omega_final             	omega_iters             	omega_converged         
67                      	smoothSolver	7.8324626663252707e-06	2.5561003396065210e-07	2	1.2727538028620580e-05	4.8747502434346701e-07	2	false	smoothSolver	1.7292362380380989e-07	1.6051911517798270e-08	1	true	GAMG	6.8286519012376008e-05	6.0740298603811582e-06	15	true	smoothSolver	2.2815693602114072e-09	1.7926674876208721e-10	1	true
68                      	smoothSolver	7.8650806829066703e-06	2.6000846290689508e-07	2	1.3056380674564880e-05	4.9971339653542377e-07	2	false	smoothSolver	1.6441308570658331e-07	1.5531388867157801e-08	1	true	GAMG	6.4775780826290075e-05	5.4515616555421146e-06	15	true	smoothSolver	2.2288879141864212e-09	1.7434147770514359e-10	1	true
69                      	smoothSolver	7.9192860099992178e-06	2.6054000294305301e-07	2	1.3366645570551200e-05	5.1263490211076401e-07	2	false	smoothSolver	1.5729300228724500e-07	1.5093562498424691e-08	1	true	GAMG	6.1941053750994726e-05	6.1856040331198842e-06	14	true	smoothSolver	2.1495333057400101e-09	1.6960471261753439e-10	1	true
70                      	smoothSolver	7.9385389880891721e-06	2.6389675652932551e-07	2	1.3660177697041810e-05	5.2542212606255972e-07	2	false	smoothSolver	1.5374692092008481e-07	1.4799985704293591e-08	1	true	GAMG	6.0095964559288500e-05	5.5333625361921832e-06	15	true	smoothSolver	2.0774993041583570e-09	1.6512895591405981e-10	1	true
71                      	smoothSolver	7.9842509220042898e-06	2.6609069345182997e-07	2	1.4047138380852210e-05	5.3814973530220354e-07	2	false	smoothSolver	1.5101037495734661e-07	1.4599095348852170e-08	1	true	GAMG	5.6212000024414142e-05	5.0485325941438316e-06	15	true	smoothSolver	2.0472493773330680e-09	1.6100404440568871e-10	1	true
72                      	smoothSolver	8.0276796801243802e-06	2.6634458925378268e-07	2	1.4353905105974899e-05	5.5296205499765873e-07	2	false	smoothSolver	1.4887214543806599e-07	1.4460351852360420e-08	1	true	GAMG	5.3180939310277213e-05	5.0399232947125824e-06	15	true	smoothSolver	1.9703628391510431e-09	1.5698766980455519e-10	1	true
73                      	smoothSolver	8.0398264200890327e-06	2.6959344604557172e-07	2	1.4705604465969239e-05	5.6662355879128030e-07	2	false	smoothSolver	1.4692063652426649e-07	1.4377402090112729e-08	1	true	GAMG	5.0009492411913248e-05	4.7786673619695988e-06	15	true	smoothSolver	1.9226253182963970e-09	1.5324539146214110e-10	1	true
74                      	smoothSolver	8.0868156798781589e-06	2.6974715617484073e-07	2	1.5028887519578410e-05	5.8079124555534161e-07	2	false	smoothSolver	1.4511449726617350e-07	1.4329688697243050e-08	1	true	GAMG	4.7170829949809647e-05	4.6812010664233340e-06	16	true	smoothSolver	1.9101593042234272e-09	1.4973142308141940e-10	1	true
75                      	smoothSolver	8.1087270018673753e-06	2.7271757215459807e-07	2	1.5359504524152321e-05	5.9443587703140406e-07	2	false	smoothSolver	1.4311877484345140e-07	1.4295774493447790e-08	1	true	GAMG	4.4744629579547909e-05	4.0770598528205131e-06	17	true	smoothSolver	1.8524143442295020e-09	1.4634190308462311e-10	1	true
76                      	smoothSolver	8.1304414693438679e-06	2.7368058086383463e-07	2	1.5727033186130941e-05	6.0802129184551134e-07	2	false	smoothSolver	1.4087334155889959e-07	2.6392009129652219e-09	2	true	GAMG	4.1172717614072947e-05	3.7089533620857820e-06	17	true	smoothSolver	1.8001967276425001e-09	1.4318926029168571e-10	1	true
77                      	smoothSolver	8.1587718117907587e-06	2.7290557812908531e-07	2	1.6047663538816182e-05	6.2389566747981486e-07	2	false	smoothSolver	1.3798856486370770e-07	2.6152500496187360e-09	2	true	GAMG	3.8545984205931507e-05	3.7811721815095222e-06	17	true	smoothSolver	1.7695303107507600e-09	1.4050959087531611e-10	1	true
78                      	smoothSolver	8.1649486208462750e-06	2.7507638838889090e-07	2	1.6406630524712189e-05	6.3717346814531201e-07	2	false	smoothSolver	1.3493268453213490e-07	2.5966107634269351e-09	2	true	GAMG	3.6099144088533661e-05	3.2068952276851560e-06	19	true	smoothSolver	1.7183651056819429e-09	1.3775237747210109e-10	1	true
79                      	smoothSolver	8.1922270453707335e-06	2.7422836155299883e-07	2	1.6738732719752190e-05	6.5179727252678102e-07	2	false	smoothSolver	1.3165095484016320e-07	2.5781998592748499e-09	2	true	GAMG	3.3607091563504512e-05	3.1287274569692542e-06	19	true	smoothSolver	1.6801507796747329e-09	1.3512909558277961e-10	1	true
80                      	smoothSolver	8.1917311410162504e-06	2.7548217078301929e-07	2	1.7086828001836839e-05	6.6474234011683837e-07	2	false	smoothSolver	1.2831618636778690e-07	2.5610870793507341e-09	2	true	GAMG	3.1438613522698343e-05	2.9587146581391668e-06	19	true	smoothSolver	1.6424502147342890e-09	1.3256496282363869e-10	1	true
